Time resolution is 1 ps
Time: 8145000 | Master Din: a5 |  Addr: 0010 | Write Enable: 1
Time: 8175000 | Master Din: a5 |  Addr: 0010 | Write Enable: 0
Time: 8185000 | Master Din: 02 |  Addr: 0011 | Write Enable: 0
Time: 8195000 | Master Din: 00 |  Addr: 0011 | Write Enable: 0
Time: 8255000 | Master Din: 00 |  Addr: 0100 | Write Enable: 1
Time: 8295000 | Master Din: 00 |  Addr: 0100 | Write Enable: 0
Time: 8305000 | Master Din: 04 |  Addr: 0101 | Write Enable: 0
Time: 8315000 | Master Din: a5 |  Addr: 0101 | Write Enable: 0
Time: 8345000 | Master Din: a5 |  Addr: 0110 | Write Enable: 1
Time: 8375000 | Master Din: a5 |  Addr: 0110 | Write Enable: 0
Time: 8385000 | Master Din: 06 |  Addr: 0110 | Write Enable: 0
Time: 8415000 | Master Din: 06 |  Addr: 0001 | Write Enable: 0
Time: 8425000 | Master Din: a5 |  Addr: 0001 | Write Enable: 0
Time: 8465000 | Master Din: a5 |  Addr: 0010 | Write Enable: 1
Time: 8495000 | Master Din: a5 |  Addr: 0010 | Write Enable: 0
Time: 8505000 | Master Din: 02 |  Addr: 0011 | Write Enable: 0
Time: 8515000 | Master Din: 00 |  Addr: 0011 | Write Enable: 0
Time: 8575000 | Master Din: 00 |  Addr: 0100 | Write Enable: 1
Time: 8615000 | Master Din: 00 |  Addr: 0100 | Write Enable: 0
Time: 8625000 | Master Din: 04 |  Addr: 0101 | Write Enable: 0
Time: 8635000 | Master Din: a5 |  Addr: 0101 | Write Enable: 0
Time: 8665000 | Master Din: a5 |  Addr: 0110 | Write Enable: 1
Time: 8695000 | Master Din: a5 |  Addr: 0110 | Write Enable: 0
Time: 8705000 | Master Din: 06 |  Addr: 0110 | Write Enable: 0
Time: 8735000 | Master Din: 06 |  Addr: 0001 | Write Enable: 0
Time: 8745000 | Master Din: a5 |  Addr: 0001 | Write Enable: 0
Time: 8785000 | Master Din: a5 |  Addr: 0010 | Write Enable: 1
Time: 8815000 | Master Din: a5 |  Addr: 0010 | Write Enable: 0
Time: 8825000 | Master Din: 02 |  Addr: 0011 | Write Enable: 0
Time: 8835000 | Master Din: 00 |  Addr: 0011 | Write Enable: 0
Time: 8895000 | Master Din: 00 |  Addr: 0100 | Write Enable: 1
Time: 8935000 | Master Din: 00 |  Addr: 0100 | Write Enable: 0
Time: 8945000 | Master Din: 04 |  Addr: 0101 | Write Enable: 0
Time: 8955000 | Master Din: a5 |  Addr: 0101 | Write Enable: 0
Time: 8985000 | Master Din: a5 |  Addr: 0110 | Write Enable: 1
Time: 9015000 | Master Din: a5 |  Addr: 0110 | Write Enable: 0
Time: 9025000 | Master Din: 06 |  Addr: 0110 | Write Enable: 0
Time: 9055000 | Master Din: 06 |  Addr: 0001 | Write Enable: 0
Time: 9065000 | Master Din: a5 |  Addr: 0001 | Write Enable: 0
Time: 9105000 | Master Din: a5 |  Addr: 0010 | Write Enable: 1
Time: 9135000 | Master Din: a5 |  Addr: 0010 | Write Enable: 0
Time: 9145000 | Master Din: 02 |  Addr: 0011 | Write Enable: 0
Time: 9155000 | Master Din: 00 |  Addr: 0011 | Write Enable: 0
Time: 9215000 | Master Din: 00 |  Addr: 0100 | Write Enable: 1
Time: 9255000 | Master Din: 00 |  Addr: 0100 | Write Enable: 0
